nome;categoria;pasto_consigliato;kcal;proteine;lipidi;carboidrati;energia_kj;colesterolo;amido;zuccheri_solubili;alcol;fibra_totale;fibra_solubile;fibra_insolubile;saccarosio;glucosio;fruttosio;lattosio;galattosio;maltosio;maltotriosio;raffinosio;fluoro;sodio;magnesio;fosforo;cloro;potassio;calcio;cromo;manganese;ferro;nichel;rame;zinco;selenio;iodio;carotenoidi_totali;alfa_carotene;beta_carotene;criptoxantina;licopene;luteina;retinolo;zeaxantina;vitamina_a_equivalenti_retinolo;tiamina;riboflavina;niacina;acido_pantotenico;vitamina_b6;biotina;folati;vitamina_b12;vitamina_c;vitamina_d;vitamina_e;alfa_tocoferolo;beta_tocoferolo;gamma_tocoferolo;delta_tocoferolo;vitamina_k;acidi_grassi_saturi;rapporto_polinsaturi_saturi;alanina;cistina;acido_aspartico;acido_glutammico;fenilalanina;glicina;istidina;isoleucina;lisina;leucina;metionina;prolina;arginina;serina;treonina;valina;triptofano;tirosina;indice_chimico;aminoacido_limitante;acido_caffeico;acido_citrico;acido_fitico;acido_malico;apigenina;attivita_antiossidante;kaempferolo;fitosteroli;frutto-oligosaccaridi;miricetina;polifenoli;quercetina;violaxantina
Funghi coltivati, pleurotes, crudi;Verdure e ortaggi;cena,pranzo;37;2.2;0.3;5.6;156;0.0;0;5.6;0;2.4;25;215;0.0;0;0.0;0;0.0;0.0;0.0;0;0;7;17;97;0;287.0;3.0;0;0;0.9;0;0.0;0.0;0;0;0;0;0.0;0;0;0;0.0;0;0;0.0;0.0;0.0;0;0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;882.0;91.0;914.0;1650.0;400.0;486.0;227.0;405.0;600.0;782.0;145.0;395.0;705.0;450.0;527.0;523.0;232.0;391.0;107;Solforati;0;0;0;0;0;0;0;0;0;0;0;0;0
Funghi coltivati, pleurotes, cotti, in padella;Verdure e ortaggi;cena,pranzo;35;2.6;0.4;5.3;148;0.0;0;5.3;0;0.8;0;0;0.0;0;0.0;0;0.0;0.0;0.0;0;0;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0;0;0;0.0;0;0;0.0;0.0;0.0;0;0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0
Funghi ovuli, crudi;Verdure e ortaggi;cena,pranzo;23;2.0;0.3;1.6;95;0.0;0;1.6;0;3.0;0;0;0.0;0;0.0;0;0.0;0.0;0.0;0;0;0;0;89;0;0.0;17.0;0;0;1.1;0;0.0;0.0;0;0;0;0;0.0;0;0;0;0.0;0;0;10.0;31.0;400.0;0;0;0.0;0.0;0;3;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0
Funghi porcini, crudi;Verdure e ortaggi;cena,pranzo;31;3.9;0.7;1.0;128;0.0;0;1;0;2.5;0;0;0.0;0;0.0;0;0.0;0.0;0.0;0;0;52;0;142;0;235.0;22.0;0;0;1.2;0;0.0;0.0;0;0;0;0;0.0;0;0;0;0.0;0;0;38.0;26.0;400.0;0;0;0.0;0.0;0;3;0;0;0;0;0;0;0;0;0;805.0;131.0;803.0;1069.0;303.0;664.0;200.0;279.0;395.0;531.0;149.0;531.0;359.0;479.0;464.0;367.0;97.0;172.0;88;Lisina;0;0;0;0;0;0;0;0;0;0;0;0;0
Tartufo, nero;Verdure e ortaggi;cena,pranzo;48;6.0;0.5;0.7;201;0.0;tr;0.7;0;8.4;0;0;0.0;0;0.0;0;0.0;0.0;0.0;0;0;0;0;62;0;0.0;24.0;0;0;3.5;0;0.0;0.0;0;0;0;0;0.0;0;0;0;0.0;0;0;5.0;9.0;200.0;0;0;0.0;0.0;0;1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0
Patate, crude;Verdure e ortaggi;cena,pranzo;72;2.0;0.1;16.0;303;0.0;13.5;1;0;1.8;8;96;76.0;19;14.0;0;0.0;0.0;0.0;0;0;7;28;54;0;570.0;10.0;0;0;0.6;0;19.0;124.0;tr;0;0;0;0.0;0;0;0;0.0;0;3;10.0;4.0;250.0;0;0;0.0;38.0;0;16;0;0;0;0;0;0;0;0;0;438.0;105.0;1590.0;1657.0;443.0;276.0;171.0;438.0;548.0;581.0;162.0;362.0;495.0;362.0;395.0;552.0;133.0;290.0;98;Leucina;0;367;0.08;142;0;0;0;0;0;0;3670;0;0
Patate, con buccia, cotte, bollite;Verdure e ortaggi;cena,pranzo;88;2.1;1.0;17.9;367;0.0;15.9;0.4;0;1.6;71;85;0.0;0;0.0;0;0.0;0.0;0.0;0;0;7;28;54;0;570.0;10.0;0;0;0.6;0;19.0;124.0;tr;0;0;0;0.0;0;0;0;0.0;0;3;8.0;3.0;240.0;0;0;0.0;0.0;0;8;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;;0;0;0.08;0;0;0;0;0;0;0;0;0;0
Patate, cotte, arrosto;Verdure e ortaggi;cena,pranzo;152;2.9;4.5;25.7;636;0.0;22.8;0.6;0;1.8;0;0;0.0;0;0.0;0;0.0;0.0;0.0;0;0;9;0;55;0;570.0;8.0;0;0;0.7;0;0.0;0.0;0;0;0;0;0.0;0;0;0;0.0;0;tr;23.0;2.0;70.0;0;0;0.0;0.0;0;8;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0
Patate, cotte, al microonde;Verdure e ortaggi;cena,pranzo;88;2.1;1.0;17.9;367;0.0;15.9;0.4;0;1.6;71;85;0.0;0;0.0;0;0.0;0.0;0.0;0;0;7;32;54;0;570.0;10.0;0;0;0.6;0;21.0;126.0;tr;0;0;0;0.0;0;0;0;0.0;0;3;10.0;4.0;250.0;0;0;0.0;0.0;0;8;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;;0;0;0.08;0;0;0;0;0;0;0;0;0;0
Patate, senza buccia, cotte, bollite;Verdure e ortaggi;cena,pranzo;74;1.8;0.1;16.9;310;0.0;15.0;0.4;0;1.3;0;0;0.0;0;0.0;0;0.0;0.0;0.0;0;0;7;0;31;0;280.0;5.0;0;0;0.4;0;0.0;0.0;0;0;0;0;0.0;0;0;0;0.0;0;tr;8.0;1.0;50.0;0;0;0.0;26.0;0;6;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0
Patate, fritte;Verdure e ortaggi;cena,pranzo;192;3.9;6.7;29.9;805;0.0;26.6;0.6;0;2.2;0;0;0.0;0;0.0;0;0.0;0.0;0.0;0;0;12;0;62;0;660.0;11.0;0;0;0.8;0;0.0;0.0;0;0;0;0;0.0;0;0;0;0.0;0;tr;24.0;2.0;70.0;0;0;0.0;0.0;0;9;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0
